CodigoMateria,Identificacao,Ementa,Data,IndicadorAutorPrincipal,CodigoParlamentar,interesse,justificativa_interesse
153531,PEC 16/2022,"Altera a Constituição Federal para estabelecer que a União prestará auxílio financeiro aos Estados e ao Distrito Federal, com o objetivo de compensar perdas de arrecadação decorrentes da redução das alíquotas relativas ao Imposto sobre Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação – ICMS, incidente sobre o óleo diesel combustível e o gás liquefeito de petróleo, derivado de petróleo e de gás natural.",2022-06-09,Não,6027,0,Co-autor de PEC
153518,PEC 15/2022,Altera o art. 225 da Constituição Federal para estabelecer diferencial de competitividade para os biocombustíveis.,2022-06-09,Não,6027,0,Co-autor de PEC
153185,PL 1331/2022,Dispõe sobre a pesquisa e a lavra de recursos minerais em terras indígenas homologadas ou em processo de demarcação.,2022-05-23,Sim,6027,6,Autor principal da matéria há menos de 3 anos
153521,PL 1570/2022,"Altera a Lei nº 9.656, de 03 de junho de 1998, para dispor sobre a natureza exemplificativa do rol de procedimentos e eventos em saúde da Agência Nacional de Saúde Suplementar – ANS e dá outras providências.",2022-06-09,Sim,6027,6,Autor principal da matéria há menos de 3 anos
152283,PL 650/2022,"Altera o Decreto-Lei nº 2.848 de 07 de dezembro de 1940 – Código Penal, para dispor sobre fraude bancária.",2022-03-21,Sim,6027,6,Autor principal da matéria há menos de 3 anos
152566,PL 800/2022,Dispõe sobre medidas de proteção asseguradas ao entregador de plataforma de serviços de intermediação digital.,2022-04-01,Sim,6027,6,Autor principal da matéria há menos de 3 anos
152284,PL 651/2022,"Dispõe sobre a tipificação criminal de delitos digitais; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências.",2022-03-21,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151862,PL 330/2022,"Altera o Decreto-Lei nº 2848, de 07 de dezembro de 1940, para dispor sobre o crime de má conduta científica.",2022-02-21,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151908,PL 372/2022,"Disciplina os procedimentos referentes à comprovação de vida anual dos servidores, inclusive aposentados e pensionistas no âmbito dos Estados, do Distrito Federal e dos Municípios abrangidos por regime próprio de previdência social e acerca da comprovação de vida anual dos beneficiários do INSS.",2022-02-23,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151585,PEC 1/2022,"Altera a Emenda Constitucional nº 109, de 15 de março de 2021, para dispor sobre a concessão temporária de auxílio diesel a caminhoneiros autônomos, de subsídio para aquisição de gás liquefeito de petróleo pelas famílias de baixa renda brasileiras e de repasse de recursos da União com vistas a garantir a mobilidade urbana dos idosos, mediante a utilização dos serviços de transporte público coletivo, e autorizar a União, os Estados, o Distrito Federal e os Municípios a reduzirem os tributos sobre os preços de diesel, biodiesel, gás e energia elétrica, bem como outros tributos de caráter extrafiscal.",2022-02-04,Não,6027,0,Co-autor de PEC
151730,PEC 2/2022,"Altera o art. 144 da Constituição Federal para instituir garantias para os policiais civis, penais e militares, os bombeiros militares e suas famílias.",2022-02-14,Não,6027,0,Co-autor de PEC
151070,PL 4226/2021,"Altera a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos, para tornar gratuita e online a emissão da segunda via da certidão de nascimento para os cidadãos em situação de vulnerabilidade social.",2021-12-01,Sim,6027,6,Autor principal da matéria há menos de 3 anos
149926,PEC 31/2021,"Modifica o art. 3º da Emenda Constitucional nº 97, de 2017.",2021-09-22,Não,6027,0,Co-autor de PEC
149925,PEC 30/2021,Inclui o §3° ao art. 28; e o §6° ao art. 77 da Constituição Federal.,2021-09-22,Não,6027,0,Co-autor de PEC
149094,PL 2532/2021,"Altera a Lei nº 8.080, de 19 de setembro de 1990, para incluir no campo de atuação do Sistema Único de Saúde a realização de procedimentos cirúrgicos de abdominoplastia e de lipoaspiração em pacientes previamente submetidos a cirurgia bariátrica, bem como de mamoplastia redutora nos casos de hipertrofia mamária ou gigantomastia.",2021-07-13,Sim,6027,6,Autor principal da matéria há menos de 3 anos
148410,PEC 11/2021,"Altera o texto permanente da Constituição Federal e o Ato das Disposições Constitucionais Transitórias para estabelecer vedações ao aumento de tributação na União, nos Estados, no Distrito Federal e nos Municípios que não sejam destinados exclusivamente ao combate de estado de calamidade nacional.",2021-05-13,Não,6027,0,Co-autor de PEC
148397,PEC 9/2021,"Altera o Ato das Disposições Constitucionais Transitórias para aumentar o limite de moratória e parcelamento para 240 (duzentos e quarenta) meses para débitos dos entes federativos com seus regimes próprios de previdência, enquanto perdurarem os efeitos de estado de calamidade pública em razão da pandemia causado pelo COVID.",2021-05-13,Não,6027,0,Co-autor de PEC
146407,PEC 1/2021,Insere art. 175-A na Constituição para determinar que pelo menos 70% dos recursos obtidos com outorgas onerosas de obras e serviços de transportes sejam reinvestidos no próprio setor.,2021-02-09,Não,6027,0,Co-autor de PEC
144893,PEC 36/2020,"Altera o art. 165 da Constituição Federal e o art. 107 e 110 do Ato das Disposições Constitucionais Transitórias, acrescenta art. 115 ao Ato das Disposições Constitucionais Transitórias, bem como revoga o inciso III do art. 167 da Constituição Federal e a Emenda Constitucional nº 95, de 16 de dezembro de 2016.",2020-09-23,Não,6027,0,Co-autor de PEC
143902,PEC 27/2020,"Suspende, por dois anos, a vigência da Emenda Constitucional nº 95, de 15 de dezembro de 2016.",2020-08-06,Não,6027,0,Co-autor de PEC
144006,PL 4203/2020,"Altera a Lei nº 6.088, de 16 de julho de 1974, para incluir as bacias hidrográficas dos estados de Minas Gerais e de Roraima na área de atuação da Companhia de Desenvolvimento do Vale do São Francisco (CODEVASF).",2020-08-13,Não,6027,3,Co-autor da matéria há mais de 3 anos
143960,PEC 28/2020,"Acrescenta o art. 60-A ao Ato das Disposições Constitucionais Transitórias, para dispor sobre a utilização no âmbito dos Estados e dos Municípios de recursos provenientes de precatórios relativos à complementação da União ao Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério (FUNDEF).",2020-08-12,Não,6027,0,Co-autor de PEC
144067,PEC 29/2020,Introduz a renda básica como direito social.,2020-08-13,Não,6027,0,Co-autor de PEC
156437,PEC 11/2023,"Altera o art. 62 da Constituição Federal, para estabelecer que as medidas provisórias terão a sua tramitação iniciada, alternadamente, na Câmara dos Deputados e no Senado Federal e para extinguir as comissões mistas encarregadas de seu exame.",2023-03-23,Sim,6027,7,Autor principal da matéria há menos de 1 ano
157258,PEC 22/2023,"Altera o art. 130 da Constituição Federal e acrescenta-lhe parágrafo, de modo a aprimorar o regramento e consolidar balizas institucionais necessárias ao bom funcionamento do Ministério Público de Contas brasileiro.",2023-05-04,Não,6027,0,Co-autor de PEC
156391,PEC 8/2023,"Modifica os arts. 60, 61, 62 e 64 da Constituição Federal, para dispor sobre a iniciativa de proposições pelo Presidente da República.",2023-03-21,Não,6027,0,Co-autor de PEC
156424,PEC 10/2023,Altera a Constituição Federal para instituir a parcela mensal de valorização por tempo de exercício dos magistrados e membros do Ministério Público.,2023-03-22,Não,6027,0,Co-autor de PEC
155136,PEC 28/2022,"Altera o art. 144 da Constituição Federal, para incluir as guardas municipais no rol dos órgãos de segurança pública.",2022-11-17,Não,6027,0,Co-autor de PEC
155106,PL 2775/2022,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para dispor sobre a presença obrigatória de um profissional de segurança nas escolas.",2022-11-11,Sim,6027,6,Autor principal da matéria há menos de 3 anos
155105,PL 2774/2022,"Altera o Decreto-Lei nº 5.452, de 1 de maio de 1943, que aprova a Consolidação das Leis do Trabalho, para dispor sobre a redução da jornada de trabalho de mães de menores com transtorno do espectro autista e síndrome de down.",2022-11-11,Sim,6027,6,Autor principal da matéria há menos de 3 anos
155104,PL 2773/2022,"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, que dispõe sobre o regime de concessão e permissão da prestação de serviços públicos, para dispor sobre a instalação de áreas de escape (“caixa de brita”) nas rodovias localizadas em regiões serranas.",2022-11-11,Sim,6027,6,Autor principal da matéria há menos de 3 anos
155103,PL 2772/2022,"Altera a Lei nº 12.587, de 3 de janeiro de 2012, que institui as diretrizes da Política Nacional de Mobilidade Urbana, para dispor sobre o bloqueio de motorista de transporte remunerado privado individual de passageiros pela plataforma de aplicativo.",2022-11-11,Sim,6027,6,Autor principal da matéria há menos de 3 anos
155211,PL 2851/2022,"Altera a Lei nº 14.237, de 19 de novembro de 2021, para aumentar o valor monetário e reduzir o intervalo para pagamento do auxílio Gás dos Brasileiros.",2022-11-23,Sim,6027,7,Autor principal da matéria há menos de 1 ano
155215,PEC 30/2022,"Altera a Constituição Federal, para vedar a alienação de bens públicos, inclusive o controle de empresas públicas ou sociedades de economia mista no período entre as eleições e a posse de um novo governo.",2022-11-23,Não,6027,0,Co-autor de PEC
155119,PL 2784/2022,"Altera o Decreto-Lei nº 3.689, de 03 de outubro de 1941 – Código de Processo Penal, para dispor sobre os exames periciais criminais.",2022-11-14,Sim,6027,6,Autor principal da matéria há menos de 3 anos
155210,PL 2850/2022,"Altera a Lei nº 13.681, de 18 de junho de 2018, no que tange aos servidores dos ex-Territórios Federais e autoriza reabertura do prazo de opção de servidores dos ex-Territórios Federais para serem enquadrados nas carreiras de Finanças e Controle e de Planejamento e Orçamento; dos servidores ocupantes dos cargos de provimento efetivo da Carreira de Magistério do Ensino Básico dos ex-Territórios para serem enquadrados na Carreira de Magistério do Ensino Básico, Técnico e Tecnológico; dos servidores que exerciam funções policiais nas Secretarias de Segurança Pública dos ex-Territórios do Amapá, de Roraima e de Rondônia; dispõe sobre a carreira de Analista de Infraestrutura, de que trata o art. 1º, I, da Lei nº 11.539, de 8 de novembro 2007; e dá outras providências.",2022-11-23,Sim,6027,7,Autor principal da matéria há menos de 1 ano
155227,PEC 31/2022,Altera os arts. 165 e 167 da Constituição Federal e o Ato das Disposições Constitucionais Transitórias para estabelecer novo regime fiscal.,2022-11-28,Não,6027,0,Co-autor de PEC
155209,PL 2849/2022,"Altera o art. 33 da Lei nº 12.651, de 25 de maio de 2012, para estabelecer que a reposição florestal seja efetivada em área com características ecológicas semelhantes às da área em que foi extraída a matéria-prima utilizada e em quantidade nunca inferior à supressão efetuada, na área total dos estados integrantes da Amazônia Legal.",2022-11-23,Sim,6027,7,Autor principal da matéria há menos de 1 ano
153802,PL 1766/2022,"Altera o Decreto Lei nº 2.848, de 07 de dezembro de 1940 – Código Penal, para dispor sobre a fraude na divulgação de pesquisa eleitoral.",2022-06-27,Sim,6027,6,Autor principal da matéria há menos de 3 anos
153813,PL 1772/2022,"Altera o Decreto Lei nº 2.848, de 07 de dezembro de 1940 – Código Penal, para dispor sobre a fraude na divulgação de pesquisa eleitoral.",2022-06-27,Sim,6027,6,Autor principal da matéria há menos de 3 anos
152795,PRS 13/2022,Estabelece a alíquota máxima para cobrança do Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS) incidente nas operações internas com energia elétrica ou prestação de serviços de comunicação.,2022-04-22,Não,6027,4,Co-autor da matéria há menos de 3 anos
152758,PL 955/2022,Dispõe sobre o exercício da profissão de parteira tradicional.,2022-04-19,Sim,6027,6,Autor principal da matéria há menos de 3 anos
152715,PEC 10/2022,Altera o art. 199 da Constituição Federal para dispor sobre as condições e os requisitos para a coleta e o processamento de plasma humano.,2022-04-12,Não,6027,0,Co-autor de PEC
151157,PL 4314/2021,"Altera o art. 181 da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para tipificar a infração de abandonar veículos nas vias públicas, ainda que regularmente estacionados.",2021-12-06,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151326,PL 4469/2021,"Altera a Lei 4.737, de 15 de julho de 1965, que institui o Código Eleitoral; Lei nº 9.504 de 30 de setembro de 1997, que estabelece normas para as eleições, para atualizar o conceito de comunicação social visando à inclusão das redes sociais e aplicativos de mensagem.",2021-12-15,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151321,PL 4468/2021,"Altera a Lei nº 13.344, de 06 de outubro de 2016, que dispõe sobre prevenção e repressão ao tráfico interno e internacional de pessoas; o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal). para dispor sobre medidas de enfrentamento ao tráfico de pessoas e dá outras providências.",2021-12-15,Sim,6027,6,Autor principal da matéria há menos de 3 anos
151290,PDL 1123/2021,"Convoca, para o dia 2 de outubro de 2022, plebiscito para consultar a população sobre a extinção do foro especial por prerrogativa de função e sobre a execução imediata de decisão de segundo grau em âmbito penal.",2021-12-14,Não,6027,4,Co-autor da matéria há menos de 3 anos
