,CodigoParlamentar,CodigoMateria,interesse,justificativa_interesse
31443,6337.0,159095,7,Autor principal da matéria há menos de 1 ano
31444,6337.0,159325,0,Co-autor de PEC
31445,6337.0,159330,13,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Discurso) há menos de 1 ano
31446,6337.0,159493,4,Relator atual designado há menos de 1 ano em CDH
31447,6337.0,159508,7,Autor de emenda há menos de 1 ano
31448,6337.0,159523,7,Autor principal da matéria há menos de 1 ano
31449,6337.0,159524,7,Autor principal da matéria há menos de 1 ano
31450,6337.0,159591,7,Autor principal da matéria há menos de 1 ano
31451,6337.0,159642,7,Autor principal da matéria há menos de 1 ano
31452,6337.0,159643,7,Autor principal da matéria há menos de 1 ano
31453,6337.0,159787,7,Autor principal da matéria há menos de 1 ano
31454,6337.0,159794,11,Co-autor da matéria há menos de 1 ano - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31455,6337.0,159891,7,Autor principal da matéria há menos de 1 ano
31456,6337.0,159898,7,Autor principal da matéria há menos de 1 ano
31457,6337.0,159899,7,Autor principal da matéria há menos de 1 ano
31458,6337.0,159909,7,Autor principal da matéria há menos de 1 ano
31459,6337.0,159910,7,Autor principal da matéria há menos de 1 ano
31460,6337.0,159924,0,Co-autor de PEC
31461,6337.0,159933,0,Co-autor de PEC
31462,6337.0,159942,7,Autor principal da matéria há menos de 1 ano
31463,6337.0,159966,0,Co-autor de PEC
31464,6337.0,159988,7,Autor principal da matéria há menos de 1 ano
31465,6337.0,160011,0,Co-autor de PEC
31466,6337.0,160013,7,Autor principal da matéria há menos de 1 ano
31467,6337.0,160083,13,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31468,6337.0,160163,0,Co-autor de PEC
31469,6337.0,160194,5,Co-autor da matéria há menos de 1 ano
31470,6337.0,160308,7,Autor principal da matéria há menos de 1 ano
31471,6337.0,160309,7,Autor principal da matéria há menos de 1 ano
31472,6337.0,160310,7,Autor principal da matéria há menos de 1 ano
31473,6337.0,160374,0,Co-autor de PEC
31474,6337.0,160593,0,Co-autor de PEC
31475,6337.0,160669,7,Autor principal da matéria há menos de 1 ano
31476,6337.0,160670,7,Autor principal da matéria há menos de 1 ano
31477,6337.0,160671,7,Autor principal da matéria há menos de 1 ano
31478,6337.0,160672,7,Autor principal da matéria há menos de 1 ano
31479,6337.0,160673,7,Autor principal da matéria há menos de 1 ano
31480,6337.0,160684,0,Co-autor de PEC
31481,6337.0,160728,0,Co-autor de PEC
31482,6337.0,160744,7,Autor principal da matéria há menos de 1 ano
